ID,EIGENAAR,TURBINE/PARKNAAM,kW,N.Br.-GE,O.L.-GE
1878,Prinses Amalia,Prinses Amalia,2000,52.605175,4.226756
1879,Prinses Amalia,Prinses Amalia,2000,52.602418,4.233486
1880,Prinses Amalia,Prinses Amalia,2000,52.599643,4.240231
1881,Prinses Amalia,Prinses Amalia,2000,52.596895,4.246959
1882,Prinses Amalia,Prinses Amalia,2000,52.605385,4.212474
1883,Prinses Amalia,Prinses Amalia,2000,52.602693,4.219293
1884,Prinses Amalia,Prinses Amalia,2000,52.600009,4.226124
1885,Prinses Amalia,Prinses Amalia,2000,52.597325,4.232926
1886,Prinses Amalia,Prinses Amalia,2000,52.594641,4.239726
1887,Prinses Amalia,Prinses Amalia,2000,52.591948,4.246571
1888,Prinses Amalia,Prinses Amalia,2000,52.58928,4.253369
1889,Prinses Amalia,Prinses Amalia,2000,52.586586,4.260197
1890,Prinses Amalia,Prinses Amalia,2000,52.602504,4.204727
1891,Prinses Amalia,Prinses Amalia,2000,52.599895,4.211794
1892,Prinses Amalia,Prinses Amalia,2000,52.597113,4.218525
1893,Prinses Amalia,Prinses Amalia,2000,52.5947,4.225438
1894,Prinses Amalia,Prinses Amalia,2000,52.592089,4.23234
1895,Prinses Amalia,Prinses Amalia,2000,52.58945,4.239227
1896,Prinses Amalia,Prinses Amalia,2000,52.586865,4.246112
1897,Prinses Amalia,Prinses Amalia,2000,52.584253,4.253026
1898,Prinses Amalia,Prinses Amalia,2000,52.58164,4.259925
1899,Prinses Amalia,Prinses Amalia,2000,52.599452,4.19703
1900,Prinses Amalia,Prinses Amalia,2000,52.596915,4.204006
1901,Prinses Amalia,Prinses Amalia,2000,52.594387,4.210982
1902,Prinses Amalia,Prinses Amalia,2000,52.591867,4.217956
1903,Prinses Amalia,Prinses Amalia,2000,52.589338,4.224959
1904,Prinses Amalia,Prinses Amalia,2000,52.586809,4.231917
1905,Prinses Amalia,Prinses Amalia,2000,52.584288,4.238889
1906,Prinses Amalia,Prinses Amalia,2000,52.581757,4.245861
1907,Prinses Amalia,Prinses Amalia,2000,52.579227,4.252831
1908,Prinses Amalia,Prinses Amalia,2000,52.593865,4.196458
1909,Prinses Amalia,Prinses Amalia,2000,52.591419,4.203534
1910,Prinses Amalia,Prinses Amalia,2000,52.588972,4.210551
1911,Prinses Amalia,Prinses Amalia,2000,52.586525,4.217611
1912,Prinses Amalia,Prinses Amalia,2000,52.584087,4.22467
1913,Prinses Amalia,Prinses Amalia,2000,52.581621,4.231699
1914,Prinses Amalia,Prinses Amalia,2000,52.579173,4.238772
1915,Prinses Amalia,Prinses Amalia,2000,52.576724,4.245844
1916,Prinses Amalia,Prinses Amalia,2000,52.574284,4.252899
1917,Prinses Amalia,Prinses Amalia,2000,52.590723,4.188869
1918,Prinses Amalia,Prinses Amalia,2000,52.588368,4.196001
1919,Prinses Amalia,Prinses Amalia,2000,52.585977,4.20312
1920,Prinses Amalia,Prinses Amalia,2000,52.583604,4.210399
1921,Prinses Amalia,Prinses Amalia,2000,52.581256,4.217397
1922,Prinses Amalia,Prinses Amalia,2000,52.578899,4.224497
1923,Prinses Amalia,Prinses Amalia,2000,52.576533,4.231626
1924,Prinses Amalia,Prinses Amalia,2000,52.574148,4.238755
1925,Prinses Amalia,Prinses Amalia,2000,52.571781,4.245853
1926,Prinses Amalia,Prinses Amalia,2000,52.585301,4.188647
1927,Prinses Amalia,Prinses Amalia,2000,52.583001,4.195837
1928,Prinses Amalia,Prinses Amalia,2000,52.580728,4.203098
1929,Prinses Amalia,Prinses Amalia,2000,52.578453,4.210227
1930,Prinses Amalia,Prinses Amalia,2000,52.576178,4.217384
1931,Prinses Amalia,Prinses Amalia,2000,52.573858,4.224615
1932,Prinses Amalia,Prinses Amalia,2000,52.571582,4.2318
1933,Prinses Amalia,Prinses Amalia,2000,52.580144,4.188802
1934,Prinses Amalia,Prinses Amalia,2000,52.577916,4.196063
1935,Prinses Amalia,Prinses Amalia,2000,52.575697,4.203337
1936,Prinses Amalia,Prinses Amalia,2000,52.573504,4.21058
1408,NUON,Rachel Carson,1000,52.297875,5.329071
1409,NUON,Rachel Carson,1000,52.296332,5.331703
1410,NUON,Rachel Carson,1000,52.294769,5.334364
1411,NUON,Rachel Carson,1000,52.293192,5.336993
1412,NUON,Rachel Carson,1000,52.291651,5.339645
1413,NUON,Rachel Carson,1000,52.288533,5.344932
1414,NUON,Rachel Carson,1000,52.286976,5.347561
1415,NUON,Rachel Carson,1000,52.285421,5.350204
1416,NUON,Rachel Carson,1000,52.283862,5.352845
1417,NUON,Rachel Carson,1000,52.282305,5.355485
1418,NUON,Rachel Carson,1000,52.280744,5.35811
1419,NUON,Rachel Carson,1000,52.27921,5.360703
1420,NUON,Rachel Carson,1000,52.277629,5.363386
1421,NUON,Rachel Carson,1000,52.276061,5.366025
1422,NUON,Rachel Carson,1000,52.274503,5.368653
1423,NUON,Rachel Carson,1000,52.272941,5.371296
1424,NUON,Rachel Carson,1000,52.271378,5.373943
1425,NUON,Rachel Carson,1000,52.269823,5.376563
65,Romme,Reigerweg,80,52.41509,5.408179
66,Struyk,Reigerweg,80,52.413818,5.409748
904,Romme,Reigerweg,660,52.416113,5.406788
1143,Tonkes,Reigerweg,850,52.401084,5.423628
1144,de Winter,Reigerweg,850,52.397505,5.427851
1146,Wander,Reigerweg,850,52.393671,5.432387
1236,Kamphorst,Reigerweg,900,52.417316,5.409875
1237,Struyck,Reigerweg,900,52.412497,5.410753
1238,de Jonge,Reigerweg,900,52.413806,5.413731
1239,WNW/Bentum,Reigerweg,900,52.408653,5.415043
1241,Hoving Reigerw,Reigerweg,900,52.398756,5.430901
1242,Horring-2,Reigerweg,900,52.394972,5.435388
1307,Kuipers,Reigerweg,950,52.409886,5.418072
1308,Klink,Reigerweg,950,52.404946,5.419229
1310,Horring,Reigerweg,950,52.406232,5.42224
1313,De Bruyne,Reigerweg,950,52.402405,5.426636
1965,Delta,Rilland,900,51.385,4.259234
1966,Delta,Rilland,900,51.386,4.260957
1967,Delta,Rilland,900,51.385,4.261788
1968,Delta,Rilland,900,51.383,4.262762
1969,Delta,Rilland,900,51.386,4.263337
1970,Delta,Rilland,900,51.381,4.263905
1971,Delta,Rilland,900,51.385,4.264536
1972,Delta,Rilland,900,51.379,4.264831
1973,Delta,Rilland,900,51.383,4.265616
1974,Delta,Rilland,900,51.386,4.265607
1975,Delta,Rilland,900,51.381,4.266865
1976,Delta,Rilland,900,51.385,4.267127
1977,Delta,Rilland,900,51.38,4.267829
1978,Delta,Rilland,900,51.383,4.268916
1979,Delta,Rilland,900,51.382,4.269929
1980,Delta,Rilland,900,51.381,4.27092
1988,Camperwind,Rippolder,2500,51.588286,3.680572
1989,Camperwind,Rippolder,2500,51.591682,3.681913
1990,Camperwind,Rippolder,2500,51.589597,3.686948
1991,Camperwind,Rippolder,2500,51.59164,3.691527
1992,Camperwind,Rippolder,2500,51.589222,3.695108
1481,Rivierduintocht-N,Rivierduintocht,1750,52.591721,5.605937
1482,Rivierduintocht-6,Rivierduintocht,1750,52.588764,5.607253
1483,Rivierduintocht-5,Rivierduintocht,1750,52.585781,5.608582
1484,Rivierduintocht-4,Rivierduintocht,1750,52.582793,5.609902
1485,Rivierduintocht-3,Rivierduintocht,1750,52.579836,5.611216
1486,Rivierduintocht-2,Rivierduintocht,1750,52.576878,5.612539
1487,Rivierduintocht-Z,Rivierduintocht,1750,52.573904,5.613855
2182,Essent,Sabinapolder,850,51.6609,4.37506
2183,Essent,Sabinapolder,850,51.6646,4.385666
2184,Essent,Sabinapolder,850,51.6666,4.387051
2185,Essent,Sabinapolder,850,51.6687,4.388422
2186,Essent,Sabinapolder,850,51.6708,4.389749
2187,Essent,Sabinapolder,850,51.6729,4.391149
2188,Essent,Sabinapolder,850,51.6749,4.392535
188,Essent-1,Scheemda,80,53.1736,6.9267
189,Essent-2,Scheemda,80,53.1737,6.9284
190,Essent-3,Scheemda,80,53.1739,6.9302
191,Essent-4,Scheemda,80,53.174,6.9319
192,Essent-5,Scheemda,80,53.1741,6.9338
193,Essent-6,Scheemda,80,53.1742,6.9353
194,Essent-7,Scheemda,80,53.1743,6.9368
195,Essent-8,Scheemda,80,53.1744,6.9383
196,Essent-9,Scheemda,80,53.1745,6.9397
197,Essent-10,Scheemda,80,53.1746,6.9414
198,Essent-11,Scheemda,80,53.1747,6.943
200,Essent-12,Scheemda,80,53.1748,6.9448
1741,ECN-1,Scherventocht,2500,52.831785,5.080088
1742,ECN-2,Scherventocht,2500,52.831552,5.084596
1743,ECN-3,Scherventocht,2500,52.831317,5.08911
1744,ECN-4,Scherventocht,2500,52.831085,5.093608
1745,ECN-5,Scherventocht,2500,52.830841,5.098131
964,Vermue,Schollevaarweg,600,52.373288,5.50533
965,Hoving,Schollevaarweg,750,52.383937,5.516134
1134,Lubbering-Grr,Schollevaarweg,850,52.340011,5.40018
1136,Maliepaard,Schollevaarweg,850,52.330985,5.404969
1141,SenJ Hoving,Schollevaarweg,850,52.332667,5.415317
1142,Capteyn-III-Grr,Schollevaarweg,850,52.336489,5.417843
1249,van Dijk,Schollevaarweg,900,52.377337,5.511302
1302,Schollevaarw 81-Hut,Schollevaarweg,1000,52.325641,5.398833
1304,S. Hoving-2,Schollevaarweg,1000,52.329143,5.407054
1305,Fokkema-2,Schollevaarweg,1000,52.334501,5.413217
1316,Vernooy,Schollevaarweg,1000,52.341061,5.434832
1319,Wijnstekers-1,Schollevaarweg,1000,52.342365,5.437877
1325,Tijssen,Schollevaarweg,1000,52.344936,5.443847
1350,Stehouwer,Schollevaarweg,1000,52.363637,5.487288
1354,Verschoor,Schollevaarweg,950,52.366071,5.492864
1358,De Vries-2,Schollevaarweg,1000,52.380371,5.500431
1362,De Vries-1,Schollevaarweg,1000,52.377202,5.506133
1368,Huijgen-2,Schollevaarweg,1000,52.382049,5.513386
1370,van Beek,Schollevaarweg,950,52.380542,5.516093
1372,Visser,Schollevaarweg,950,52.383318,5.52025
1374,Zijlstra,Schollevaarweg,950,52.388655,5.522628
1377,Traa,Schollevaarweg,950,52.387118,5.525316
2390,Sortiva b.v. 1,Sortiva,2300,52.603797,4.760585
2391,Sortiva b.v. 2,Sortiva,2300,52.602295,4.757095
407,GES,Spannenburg,225,52.922702,5.693472
408,GES,Spannenburg,225,52.921584,5.694066
409,GES,Spannenburg,225,52.920385,5.694705
410,GES,Spannenburg,225,52.919243,5.695324
411,GES,Spannenburg,225,52.918136,5.695905
412,GES,Spannenburg,225,52.916877,5.696573
1575,Spoorwind-1,Spoorwind,2000,52.591315,6.22015
1576,Spoorwind-2,Spoorwind,2000,52.595415,6.223529
1577,Spoorwind-3,Spoorwind,2000,52.595046,6.230152
1157,Smits-Grr,Sterappellaan,850,52.37347,5.478073
1160,Sterappel 9 Snippe,Sterappellaan,850,52.365121,5.480904
1161,Bos,Sterappellaan,850,52.375443,5.482562
1245,Riphagen,Sterappellaan,900,52.371534,5.473564
1246,Steijn-2,Sterappellaan,900,52.369691,5.475675
1334,Sterappellaan-Chardon,Sterappellaan,950,52.373031,5.461557
1337,Sterappellaan-Dekker,Sterappellaan,950,52.374227,5.464336
1338,Roelofs-2,Sterappellaan,950,52.369444,5.465702
1339,Sterappellaan-Steyn,Sterappellaan,950,52.375395,5.46706
1341,Roelofs-1,Sterappellaan,1000,52.370624,5.468444
1348,Sterappellaan-Huygen,Sterappellaan,950,52.367063,5.485412
2158,van Steen,Sterappellaan,850,52.376563,5.469758
2192,v.d. Werf,Tacowind,900,52.863,5.641996
2221,Raedthuys,Treurenberg,2300,51.7174,5.288866
1739,WCI,Trompet,2000,52.507535,4.703472
2600,TSL North,TSL North,3000,52.54793591,5.556889378
1114,Yard-Blauw-2,Tureluurweg,850,52.321487,5.383317
1116,Los,Tureluurweg,850,52.319645,5.38544
1128,Lambregtse,Tureluurweg,850,52.324327,5.395763
1041,NUON,Ulketocht,750,52.838424,4.906367
1042,NUON,Ulketocht,750,52.840367,4.906954
1043,NUON,Ulketocht,750,52.842284,4.907525
1044,NUON,Ulketocht,750,52.84423,4.908103
1045,NUON,Ulketocht,750,52.846159,4.908687
1046,NUON,Ulketocht,750,52.848091,4.909268
1047,NUON,Ulketocht,750,52.850025,4.909841
1048,NUON,Ulketocht,750,52.852078,4.910459
2196,Eneco,van Luna,2300,52.651227,4.79784
2197,Eneco,van Luna,2300,52.647021,4.794039
2198,Eneco,van Luna,2300,52.642998,4.789464
368,Indufor-1,Vlissingen,250,51.477225,3.693641
370,Indufor-3,Vlissingen,250,51.477886,3.695365
372,Indufor-5,Vlissingen,250,51.474225,3.696518
373,Indufor-6,Vlissingen,250,51.478491,3.697138
374,Indufor-7,Vlissingen,250,51.473219,3.697465
375,Indufor-8,Vlissingen,250,51.4723,3.698339
376,Indufor-9,Vlissingen,250,51.478979,3.698999
377,Indufor-10,Vlissingen,250,51.479305,3.700795
378,Indufor-11,Vlissingen,250,51.479519,3.702645
379,Indufor-12,Vlissingen,250,51.47962,3.704508
380,Indufor-13,Vlissingen,250,51.479602,3.706376
381,Indufor-14,Vlissingen,250,51.479464,3.708238
382,Indufor-15,Vlissingen,250,51.479215,3.710088
422,EC-1,Vlissingen,225,51.443102,3.605017
423,EC-2,Vlissingen,225,51.442503,3.60654
424,EC-3,Vlissingen,225,51.441938,3.607904
425,EC-4,Vlissingen,225,51.441372,3.6093
426,EC-5,Vlissingen,225,51.441662,3.611227
427,EC-6,Vlissingen,225,51.441953,3.612953
428,EC-7,Vlissingen,225,51.442245,3.61469
2410,VOF F & B Windkracht,VOF F & B Windkracht,850,53.27796248,6.027639172
1058,Essent,Volkerak,850,51.6847,4.39307
1059,Essent,Volkerak,850,51.6859,4.395248
1060,Essent,Volkerak,850,51.6868,4.397794
1061,Essent,Volkerak,850,51.6878,4.400181
1062,Essent,Volkerak,850,51.69,4.401769
1063,Essent,Volkerak,850,51.6938,4.409534
1064,Essent,Volkerak,850,51.6947,4.412871
1065,Essent,Volkerak,850,51.6961,4.415527
1066,Essent,Volkerak,850,51.6975,4.418164
1067,Essent,Volkerak,850,51.6989,4.420795
1068,Essent,Volkerak,850,51.7002,4.423654
1698,Vuursteentocht-Z,Vursteentocht,2000,52.561707,5.586937
1699,Vuursteentocht-Z,Vursteentocht,2000,52.558652,5.587103
1700,Vuursteentocht-Z,Vursteentocht,2000,52.555595,5.587265
1701,Vuursteentocht-N,Vursteentocht,2000,52.552548,5.587426
1287,W.A.-polder-1,W.A.P.,900,51.45514,3.927438
1288,W.A.-polder-1,W.A.P.,900,51.45295,3.929337
1289,W.A.-polder-1,W.A.P.,900,51.455671,3.93108
1290,W.A.-polder-1,W.A.P.,900,51.453552,3.933262
1291,W.A.-polder-1,W.A.P.,900,51.451566,3.93535
1292,W.A.-polder-1,W.A.P.,900,51.456384,3.935294
1293,W.A.-polder-1,W.A.P.,900,51.454191,3.937102
1294,W.A.-polder-1,W.A.P.,900,51.451856,3.939007
1295,W.A.-polder-1,W.A.P.,900,51.455476,3.940666
1296,W.A.-polder-1,W.A.P.,900,51.45329,3.942222
2201,Wit,W3,800,52.814187,4.830815
1683,Eneco,Waalwijk-Ecopark,1500,51.7087,5.064773
1684,Eneco-4,Waalwijk-Ecopark,1500,51.7107,5.068492
1685,Eneco-2,Waalwijk-Ecopark,1500,51.7083,5.072627
1686,Eneco-5,Waalwijk-Ecopark,1500,51.7103,5.076063
1687,Eneco-3,Waalwijk-Ecopark,1500,51.7079,5.079699
493,NUON-1,Waardpolder,250,52.802004,4.881269
495,NUON-Z,Waardpolder,250,52.804218,4.881893
496,NUON-Z,Waardpolder,250,52.805326,4.882202
497,NUON-Z,Waardpolder,250,52.806434,4.882513
498,NUON-Z,Waardpolder,250,52.809932,4.882777
499,NUON-Z,Waardpolder,250,52.811039,4.883099
500,NUON-Z,Waardpolder,250,52.81215,4.883409
501,NUON-Z,Waardpolder,250,52.813255,4.883724
504,NUON-Z,Waardpolder,250,52.81547,4.884359
505,NUON-Z,Waardpolder,250,52.816577,4.88468
506,NUON-Z,Waardpolder,250,52.817681,4.88499
507,NUON-Z,Waardpolder,250,52.818792,4.885309
508,NUON-Z,Waardpolder,250,52.819898,4.885623
509,NUON-Z,Waardpolder,250,52.821002,4.885939
510,NUON-17,Waardpolder,250,52.823975,4.886792
511,NUON-18,Waardpolder,250,52.825084,4.887108
512,NUON-19,Waardpolder,250,52.826194,4.887418
1496,NUON,Waardtocht,1750,52.808744,4.922572
1497,NUON,Waardtocht,1750,52.806036,4.924431
1498,NUON,Waardtocht,1750,52.803348,4.926279
1499,NUON,Waardtocht,1750,52.800647,4.928128
1500,NUON,Waardtocht,1650,52.797953,4.929975
827,Wagendorp,Wagendorp,600,52.80205,5.080025
828,Wagendorp,Wagendorp,600,52.801872,5.083471
829,Wagendorp,Wagendorp,600,52.801699,5.086792
830,Wagendorp,Wagendorp,600,52.80151,5.090487
831,Wagendorp,Wagendorp,600,52.801323,5.094036
1520,NUON,Waterkaaptocht,1750,52.886966,5.033815
1521,NUON,Waterkaaptocht,1750,52.88398,5.036371
1522,NUON,Waterkaaptocht,1750,52.88094,5.038943
1523,NUON,Waterkaaptocht,1750,52.877934,5.041504
1524,NUON,Waterkaaptocht,1750,52.868463,5.049546
1525,NUON,Waterkaaptocht,1750,52.86548,5.0521
1526,NUON,Waterkaaptocht,1750,52.862485,5.054624
1527,NUON,Waterkaaptocht,1750,52.857931,5.0585
2214,VOF Windpark Oom Kees,Waterkaaptocht,3000,52.875016,5.044068
2215,VOF Windpark Oom Kees,Waterkaaptocht,3000,52.871333,5.047209
1266,Westeinde bv,Westeinde,900,52.856416,4.762678
1267,Westeinde bv,Westeinde,900,52.858338,4.763435
1268,Westeinde bv,Westeinde,900,52.860259,4.76421
1269,Westeinde bv,Westeinde,900,52.862178,4.764974
1270,Westeinde bv,Westeinde,900,52.867752,4.767159
1271,Westeinde bv,Westeinde,900,52.87113,4.768479
1272,Westeinde bv,Westeinde,900,52.876513,4.770569
2073,Essent,Westereems,3000,53.4444,6.7888
2074,Essent,Westereems,3000,53.4447,6.7935
2075,Essent,Westereems,3000,53.4446,6.7995
2076,Essent,Westereems,3000,53.444,6.805
2077,Essent,Westereems,3000,53.4436,6.8096
2078,Essent,Westereems,3000,53.443,6.8148
2079,Essent,Westereems,3000,53.4425,6.8201
2080,Essent,Westereems,3000,53.4419,6.8253
2081,Essent,Westereems,3000,53.441,6.8306
2082,Essent,Westereems,3000,53.4402,6.836
2083,Essent,Westereems,3000,53.4394,6.8409
2084,Essent,Westereems,3000,53.4386,6.8458
2085,Essent,Westereems,3000,53.4379,6.8508
2086,Essent,Westereems,3000,53.4364,6.8555
2087,Essent,Westereems,3000,53.4347,6.86
2088,Essent,Westereems,3000,53.4331,6.8643
2089,Essent,Westereems,3000,53.4305,6.8668
2090,Essent,Westereems,3000,53.4377,6.8664
2091,Essent,Westereems,3000,53.442,6.8683
2092,Essent,Westereems,3000,53.444,6.8735
2093,Essent,Westereems,3000,53.4458,6.8704
2094,Essent,Westereems,3000,53.4484,6.866
2095,Essent,Westereems,3000,53.4504,6.8616
2096,Essent,Westereems,3000,53.4519,6.857
2097,Essent,Westereems,3000,53.4531,6.8523
2098,Essent,Westereems,3000,53.4549,6.8428
2099,Essent,Westereems,3000,53.458,6.8324
2100,Essent,Westereems,3000,53.4591,6.8275
2101,Essent,Westereems,3000,53.4604,6.8226
2102,Essent,Westereems,3000,53.4616,6.8176
2103,Essent,Westereems,3000,53.4616,6.8126
2104,Essent,Westereems,3000,53.458,6.806
2105,Essent,Westereems,3000,53.4522,6.7963
2106,Essent,Westereems,3000,53.4513,6.8025
2107,Essent,Westereems,3000,53.4503,6.8083
293,Essent-26,Westermeerdijk-II,300,52.716641,5.595163
294,Essent-27,Westermeerdijk-II,300,52.717756,5.59519
295,Essent-28,Westermeerdijk-II,300,52.718882,5.595215
296,Essent-29,Westermeerdijk-II,300,52.72001,5.595241
297,Essent-30,Westermeerdijk-II,300,52.721122,5.595258
298,Essent-31,Westermeerdijk-II,300,52.722253,5.595292
299,Essent-32,Westermeerdijk-II,300,52.72339,5.595309
300,Essent-33,Westermeerdijk-II,300,52.724507,5.595344
301,Essent-34,Westermeerdijk-II,300,52.72675,5.595391
302,Essent-35,Westermeerdijk-II,300,52.725627,5.595369
303,Essent-36,Westermeerdijk-II,300,52.727874,5.595413
304,Essent-37,Westermeerdijk-II,300,52.728992,5.595432
305,Essent-38,Westermeerdijk-II,300,52.73124,5.595491
306,Essent-39,Westermeerdijk-II,300,52.730119,5.595457
307,Essent-40,Westermeerdijk-II,300,52.732367,5.5955
308,Essent-41,Westermeerdijk-II,300,52.733491,5.595529
309,Essent-42,Westermeerdijk-II,300,52.734614,5.595552
310,Essent-43,Westermeerdijk-II,300,52.735737,5.595574
311,Essent-44,Westermeerdijk-II,300,52.736857,5.59561
312,Essent-45,Westermeerdijk-II,300,52.737978,5.595636
313,Essent-46,Westermeerdijk-II,300,52.739101,5.595658
314,Essent-47,Westermeerdijk-II,300,52.740229,5.595691
315,Essent-48,Westermeerdijk-II,300,52.741347,5.595716
316,Essent-49,Westermeerdijk-II,300,52.743594,5.595755
317,Essent-50,Westermeerdijk-II,300,52.742475,5.595721
2154,Martensgroep,Weststad-III,2500,51.6739,4.834018
2155,Martensgroep,Weststad-III,2500,51.6746,4.838882
2156,Martensgroep,Weststad-III,2500,51.6752,4.843601
2163,Ikea,Weststad-III,2500,51.6712,4.83768
2164,Ikea,Weststad-III,2500,51.672,4.842455
2165,de Graaf,Weststad-III,2500,51.6727,4.847246
2598,Liefting,WF Liefting,2300,52.59707001,4.754129506
2687,Liefting,WF Liefting,2300,52.59692105,4.754154578
2597,Swingma,WF Swingma (Blanksma),900,53.19747355,5.441019779
1006,Slabbekoorn-Holtrop,Windkracht 8,800,52.892019,5.028559
2440,Essent 1,Windpark Eemshaven,6150,53.2651,6.4914
2441,Essent 2,Windpark Eemshaven,6150,53.2647,6.4942
2734,Eneco,Windpark Luchterduinen,3000,52.4237,4.2
2735,Eneco,Windpark Luchterduinen,3000,52.4278,4.1853
2736,Eneco,Windpark Luchterduinen,3000,52.4309,4.2049
2737,Eneco,Windpark Luchterduinen,3000,52.4177,4.1945
2738,Eneco,Windpark Luchterduinen,3000,52.4041,4.1363
2739,Eneco,Windpark Luchterduinen,3000,52.4255,4.1714
2740,Eneco,Windpark Luchterduinen,3000,52.4231,4.1786
2741,Eneco,Windpark Luchterduinen,3000,52.3922,4.1461
2742,Eneco,Windpark Luchterduinen,3000,52.4055,4.1565
2743,Eneco,Windpark Luchterduinen,3000,52.408,4.1491
2744,Eneco,Windpark Luchterduinen,3000,52.4105,4.1418
2745,Eneco,Windpark Luchterduinen,3000,52.4047,4.1837
2746,Eneco,Windpark Luchterduinen,3000,52.4071,4.1766
2747,Eneco,Windpark Luchterduinen,3000,52.4095,4.1695
2748,Eneco,Windpark Luchterduinen,3000,52.4119,4.1624
2749,Eneco,Windpark Luchterduinen,3000,52.387,4.1616
2750,Eneco,Windpark Luchterduinen,3000,52.403,4.1638
2751,Eneco,Windpark Luchterduinen,3000,52.4006,4.1711
2752,Eneco,Windpark Luchterduinen,3000,52.3981,4.1785
2753,Eneco,Windpark Luchterduinen,3000,52.3896,4.1539
2754,Eneco,Windpark Luchterduinen,3000,52.3949,4.1384
2755,Eneco,Windpark Luchterduinen,3000,52.3975,4.1306
2756,Eneco,Windpark Luchterduinen,3000,52.3913,4.174
2757,Eneco,Windpark Luchterduinen,3000,52.3939,4.1665
2758,Eneco,Windpark Luchterduinen,3000,52.3964,4.1589
2759,Eneco,Windpark Luchterduinen,3000,52.399,4.1514
2760,Eneco,Windpark Luchterduinen,3000,52.4015,4.1439
2761,Eneco,Windpark Luchterduinen,3000,52.4167,4.1482
2762,Eneco,Windpark Luchterduinen,3000,52.4113,4.1889
2763,Eneco,Windpark Luchterduinen,3000,52.3801,4.1568
2764,Eneco,Windpark Luchterduinen,3000,52.3855,4.1409
2765,Eneco,Windpark Luchterduinen,3000,52.4183,4.1681
2766,Eneco,Windpark Luchterduinen,3000,52.3828,4.1488
2767,Eneco,Windpark Luchterduinen,3000,52.4143,4.1553
2768,Eneco,Windpark Luchterduinen,3000,52.3882,4.1329
2769,Eneco,Windpark Luchterduinen,3000,52.3909,4.125
2770,Eneco,Windpark Luchterduinen,3000,52.4207,4.1612
2771,Eneco,Windpark Luchterduinen,3000,52.423,4.1543
2772,Eneco,Windpark Luchterduinen,3000,52.416,4.1751
2773,Eneco,Windpark Luchterduinen,3000,52.4206,4.1858
2774,Eneco,Windpark Luchterduinen,3000,52.3844,4.1693
2775,Eneco,Windpark Luchterduinen,3000,52.4136,4.182
2776,Eneco,Windpark Luchterduinen,3000,52.3774,4.1647
2427,Windpark Nieuwe Niedorp,Windpark Niedorp,2300,52.71953834,4.888594407
1567,Ansjovistocht-1,Windstroom,1800,52.483991,5.677173
1568,Ansjovistocht-2,Windstroom,1800,52.482788,5.681512
1569,Ansjovistocht-3,Windstroom,1800,52.481566,5.685862
1570,Ansjovistocht-4,Windstroom,1800,52.480342,5.690204
1571,Ansjovistocht-5,Windstroom,1800,52.479119,5.69455
1572,Ansjovistocht-6,Windstroom,1800,52.477899,5.698892
1573,Ansjovistocht-7,Windstroom,2000,52.476687,5.70324
2216,Wisse Wind,Wisse Wind,2300,51.6383,4.101971
2217,Wisse Wind,Wisse Wind,2300,51.636282,4.107179
2218,Wisse Wind,Wisse Wind,2300,51.634308,4.112307
2219,Wisse Wind,Wisse Wind,2300,51.632327,4.117445
2220,Wisse Wind,Wisse Wind,2300,51.630337,4.122624
2460,Hempenius,Wp Allingawier,900,53.039,5.454699
2461,Delta Energy BV,Wp Anna Mariapolder,900,51.386,4.260967
2462,Delta Energy BV,Wp Anna Mariapolder,900,51.386,4.263352
2463,Delta Energy BV,Wp Anna Mariapolder,900,51.386,4.265623
2464,Delta Energy BV,Wp Anna Mariapolder,900,51.385,4.259239
2465,Delta Energy BV,Wp Anna Mariapolder,900,51.385,4.261769
2466,Delta Energy BV,Wp Anna Mariapolder,900,51.385,4.264516
2356,Lupus Ventus BV,WP Basal Franeker,850,52.517795,5.589025
2394,Lupus Ventus BV,WP Basal Franeker,850,53.18110876,5.509561217
2573,Yard Energy,WP Buren,2000,51.92421987,5.539483631
2574,Yard Energy,WP Buren,2000,51.92393251,5.534708806
2575,Yard Energy,WP Buren,2000,51.9245351,5.544156809
2576,Yard Energy,WP Buren,2000,51.92455815,5.548625116
2355,HVC,Wp Burgerveen-Oost,2300,52.235591,4.657192
2356,HVC,Wp Burgerveen-Oost,800,52.237446,4.659854
2356,HVC,Wp Burgerveen-Oost,800,52.239414,4.66268
2257,WP Burgerveen-Oost,Wp Burgerveen-Oost,2300,52.602299,4.757097
2346,Wp De Ambtenaar,Wp De Ambtenaar,7500,52.781905,5.101527
2387,Defensie Noord 1,WP Defensie Coevorden,3000,52.642077,6.729004
2388,Defensie Noord 2,WP Defensie Coevorden,3000,52.643038,6.723721
2423,Defensie Noord 1,WP Defensie Coevorden,3000,52.639167,6.719568
2424,Defensie Noord 2,WP Defensie Coevorden,3000,52.64303816,6.723721213
2425,Defensie Noord 3,WP Defensie Coevorden,3000,52.63916727,6.719567469
2577,Yard Energy,Wp Duiven B.V .,2000,51.97623572,6.017480002
2578,Yard Energy,Wp Duiven B.V .,2000,51.97297256,6.019994362
2579,Yard Energy,Wp Duiven B.V .,2000,51.9756006,6.02325294
2580,Yard Energy,Wp Duiven B.V .,2000,51.97848257,6.021224381
2108,Electrabel,WP Eeems,3000,53.4396,6.8719
2109,Electrabel,WP Eeems,3000,53.4354,6.8701
2110,Electrabel,WP Eeems,3000,53.4416,6.8775
